star_name|simbad_name|ra|dec|st_teff|sy_dist|st_spectype|sy_icmag|st_rad|st_mass|fl_known|fl_gaia|from_catalog
TIC 471011155|CD-25 10553A|222.386171|-26.105704|3495.0|20.7223|M1.5V|9.578|0.5224571459629865|0.4310803634277337|1|1.0|HPIC
TIC 79310780|G 152-1|228.9321|-7.4225|3600.0|21.695|M4.0V|10.06|0.3962514472843391|0.4365143199777169|0|0.0|HPIC
TIC 471012479|nan|215.0308|-9.6202||24.5209|nan|||0.284|0|0.0|HPIC
TIC 394632679|L  120-120|351.3548|-67.6689|3200.0|22.62443438914027|M4|11.48|0.1466694696403403|0.2537690990056567|0|0.0|HPIC
TIC 89042909|LP 1033-31|338.7704|-42.2967|3200.0|22.79981760145919|M4.5+M4.5||0.2282093829685389|0.3735663094811189|0|0.0|HPIC
TIC 197736350|L  499-56|330.6225|-37.0809|3132.0|7.6676|M3.0V||0.1369836035565546|0.2515350616968313|0|0.0|HPIC
TIC 209363450|CD-25 15988|338.502|-25.2424|3648.0|16.1086|M2+Vk|8.977|0.4348994198022571|0.4654340359047806|0|0.0|HPIC
TIC 424876997|L  347-73|291.6258|-48.6043|3309.838993310538|27.4643|nan||0.2514779897327668|0.3862710218189828|0|0.0|HPIC
TIC 441119035|L  714-88|324.7534|-24.1578|3000.0|19.4556|M3.5||0.3392169956637086|0.3006704427713613|0|0.0|HPIC
TIC 206436687|nan|330.5029|-19.4831||18.6704|nan|||0.371|0|0.0|HPIC
TIC 471012283|nan|330.5034|-19.4831||18.6704|nan|||0.371|0|0.0|HPIC
TIC 71600113|Wolf  922|322.8275|-9.7907|3381.0|7.4581|M4.5V|9.038|0.2554640723250082|0.2868297037659212|1|0.0|HPIC
TIC 46504038|RX J0332.6+2843|53.1491|28.732|3100.0|11.0|M4.5V||0.1404773422855833|0.1591109760633976|1|0.0|HPIC
TIC 194856365|Ross   34|52.221304|37.38241|4012.0|27.095|esdK7||||0|0.0|HPIC
TIC 286520195|G  81-34|72.3728|48.4794|3295.0|13.6|M4.0V||0.2741424766658971|0.227782555140341|1|0.0|HPIC
TIC 411628298|G  34-23|20.543|22.1508|3168.0|11.671335200746965|M4.0V||0.1743041468465131|0.2629216195706829|1|0.0|HPIC
TIC 191228368|G 172-13|9.0352|45.5159|3558.0|22.779043280182236|M2.0V||0.633514662449363|0.5095849738919296|0|0.0|HPIC
TIC 461417510|G 241-76|3.3161|69.3271|3540.0|26.809651474530835|M4||0.3150132987925224|0.5042854264443014|1|0.0|HPIC
TIC 289663523|G 221-21|56.3665|72.9923|3664.0|25.5834|M0V||0.3488247314418787|0.54031742744848|1|1.0|HPIC
TIC 283784587|G  41-14|134.7348|8.4738|3333.0|6.772314777190844|M3.5V||0.3657704913020634|0.3558701244751335|1|0.0|HPIC
TIC 330636179|BD+16  1895B|136.1293|16.4171|3554.0|24.0604|M-0.14||0.1157499044108737|0.3627252422173975|1|0.0|HPIC
TIC 56936482|G 115-71|140.4545|43.5078|3418.0|29.3845|M4V||0.4736421234798136|0.4163191445398916|1|0.0|HPIC
TIC 252487584|G 146-35|157.1163|48.2389|3463.0|20.5761316872428|M3.5||0.3975211619351082|0.3366697557861097|0|0.0|HPIC
TIC 459178527|G 196-24|156.7485|55.1148|3189.6069484001146|25.0|nan||0.3396367392650972|0.2722709792484015|1|0.0|HPIC
TIC 165059181|LSPM J0700+3334|105.16|33.5827|3314.0|26.343|M4.01||0.1544167129158189|0.3373370828476451|0|0.0|HPIC
TIC 400730021|MCC 253|127.0922|35.0165|3700.0|19.557989438685706|M0V||0.5515897537368659|0.5410684810175497|1|0.0|HPIC
TIC 202276997|BD+77   361|139.377|77.2447|4113.0|27.21829069134458|K5V||1.406534452925508|0.662|1|0.0|HPIC
TIC 328815367|G 253-21|139.1258|84.1833|3551.0|25.97402597402597|M1.5V||0.5926898519186603|0.4752108320650746|0|0.0|HPIC
TIC 138469142|LSPM J0617+8353|94.272|83.8931|3246.0|21.145|M3.5V||0.2289581502402328|0.3635740977142637|0|0.0|HPIC
TIC 255885414|G 167-54|235.9519|25.8772|3345.0|21.1|M4.1V||0.2784616160513706|0.2161674055100655|0|0.0|HPIC
TIC 310074866|LP  386-49|246.3847|26.0273|3577.4|28.8145|M3.0V||0.6323352136740645|0.5617616556264771|0|0.0|HPIC
TIC 270363567|RX J1734.0+4447|263.5234|44.7856|3457.0|28.3665|M3.5V||0.2935753983420111|0.4984562329476799|1|0.0|HPIC
TIC 376664521|Ross  806|238.2764|34.7539|3289.0|22.8799|M3.0V||0.7841147806315315|0.5529182077174601|1|1.0|HPIC
TIC 115582980|HD 153557B|254.4734|47.3673|3523.0|17.9303|M1.5V||0.5234541381978319|0.6226794171849422|1|1.0|HPIC
TIC 229684206|LSPM J1730+5439|262.5256|54.659|3584.0|29.756|M3.5V||0.4208692575827991|0.4804095902094502|0|0.0|HPIC
TIC 166672531|LP  324-42|209.6874|31.6717|3367.429767968896|25.1|M4.0||0.2040373651851031|0.2384552714987655|0|0.0|HPIC
TIC 311002348|Ross  492|206.1179|51.6857|3633.0|24.330900243309003|M2.5V||0.5214899175266414|0.3898894024265471|1|0.0|HPIC
TIC 202467073|G 224-57|228.6948|64.5623|3252.7589968235634|17.482517482517483|M3.5V|11.2|0.231212946048655|0.2021440090314838|1|0.0|HPIC
TIC 148910748|G 237-64|185.8884|67.1884|3482.0|12.98532658096351|M2.5V||0.5877142543806383|0.4018635112457066|1|0.0|HPIC
TIC 303032027|Ross  265|330.4544|16.4675|3589.0|16.18|M2.5V|8.334|0.6280936193157582|0.5771520065090062|1|0.0|HPIC
TIC 248024345|G 188-14|324.9766|27.6121|3636.0|23.3633|M2.0V||0.357728095316475|0.5156243551225773|1|0.0|HPIC
TIC 331684556|HD 352860|311.09132269209|19.75261298066|3891.0|22.9205|K6V|8.432|0.5559018801996004|0.6329815871872527|1|0.0|HPIC
TIC 258473872|G 144-50|315.3535|20.7273|3323.0|22.675736961451246|M3.5V||0.0686235041604692|0.2431072853992931|1|0.0|HPIC
TIC 166855070|PM J21137+3634|318.4366|36.581|3344.0|19.76284584980237|M3.74||0.1238080559773992|0.2523681923110817|0|0.0|HPIC
TIC 471012706|L 1578-44|324.1602|39.4558|3793.0|20.7068|M0V||0.6513107865050071|0.6373066968027473|1|0.0|HPIC
TIC 315365617|BD+53  2911|338.2363|53.7946|4142.0|23.20185614849188|M0V||0.6058702108845458|0.618|1|0.0|HPIC
TIC 390420292|G 185-6|287.1771|27.5626|3437.0|29.76190476190476|M4.32||0.1202071999453237|0.3485412168715269|0|0.0|HPIC
TIC 42630152|G 207-16|286.9291|32.5449|3382.0|8.3|M3V|8.65|0.1921402214960416|0.3137019823740584|1|0.0|HPIC
TIC 63644901|G 209-36|308.424|36.5996|3311.0|20.8|M3.5V||0.3621843580896903|0.2903336839557539|0|0.0|HPIC
TIC 471012023|HD 173740|280.698221|59.626847|3153.0|3.5231|M3.5V||0.3068076462437405|0.2550671310415144|1|1.0|HPIC
TIC 276105596|RX J2155.3+5938|328.8515|59.6437|3305.0|23.148148148148145|M3.5V||0.2925693386856798|0.3567682144268105|1|0.0|HPIC
TIC 120563501|CD-37    34|3.3712|-36.8287|3835.0|27.21829069134458|M0.5V||1.4395636570600248|0.627878981320966|1|0.0|HPIC
TIC 12862728|G 158-50|3.8671|-16.1338|3186.0|4.99|M4V|8.711|0.2608061633004431|0.188483465868286|1|0.0|HPIC
TIC 471012252|G 275-6|346.9446|-27.9064|3432.0|29.065|M2||0.3264781592423257|0.5049875978387885|0|0.0|HPIC
TIC 327953001|nan|359.13458025645|-14.75025323869||26.8749|nan||||0|0.0|HPIC
TIC 167440156|G 271-149|26.6535|-8.6495|3600.0|25.5733|M3||0.3946891517153387|0.4477105582265913|0|0.0|HPIC
TIC 365074976|Wolf   66|21.4027|9.7569|3265.0|27.9729|M3.5V||0.4555006769388223|0.4638785985009902|1|0.0|HPIC
TIC 224222042|G 156-63|343.6936|-5.474|3200.0|25.0563768479078|M4V|11.21|0.4105772023804011|0.3144402207450096|0|0.0|HPIC
TIC 402934167|G  28-46|347.8492|8.5171|3472.0|20.080321285140563|M3V||0.2260501218782039|0.4336119709931652|0|0.0|HPIC
TIC 265916263|Wolf 1201|336.5657|3.0051|3408.344204987485|23.4511|M4V||0.2439365955497539|0.307701140775224|1|0.0|HPIC
TIC 318705111|G  28-21|343.1239|9.9012|3408.344204987485|26.845637583892614|M3.0V||0.3133195273322192|0.3345353943329243|1|0.0|HPIC
TIC 471012325|nan|12.638|24.8171|3257.535546112781|19.9091|nan||0.3600287597825335|0.5012156095318611|0|0.0|HPIC
TIC 243069479|G  68-5|349.3672|19.613|3157.0|16.4551|M2V||0.6021743371703802|0.4256421764993237|1|1.0|HPIC
TIC 379746744|G  67-15|340.6615|17.6692|3417.0|19.8156|M2.5V|9.354|0.5387949493962805|0.4894632271733697|0|0.0|HPIC
TIC 288144878|G 130-6|355.9713|32.5941|3449.0|23.6555|M1.5V||0.5681516438659727|0.5724586920038645|1|0.0|HPIC
TIC 48523939|LP  780-32|99.9059|-21.0259|3438.0|11.4|dM4.0|10.01|0.1299720848432913|0.2431905452966798|1|0.0|HPIC
TIC 464838615|G  99-10|82.0608|2.9706|3400.0|21.0494|M3.5V||0.388468049354704|0.3447683068399979|1|0.0|HPIC
TIC 229264027|BD+10  1032|92.7283|10.3181|4400.0|10.91|M2.5V|8.065|0.2676930594194204|0.466|1|0.0|HPIC
TIC 77892955|Ross   59|88.3086|24.2588|3595.0|20.9506|M2V|8.72|0.7150623561778974|0.593214477852503|0|1.0|HPIC
TIC 502564326|* gam Vir B|190.41476077021|-1.44940212689|7090.0|12.7382|F0mF2V||1.5213351735552707|1.5722173964345063|1|0.0|HPIC
TIC 393638658|G  62-28|199.5074|2.2337|3220.0|13.4327|M3.5V||0.2832256448169353|0.2529172323239826|1|0.0|HPIC
TIC 95548046|nan|203.1858|16.8108|3373.43838357212|21.8986|nan||0.517525902611576|0.5785283971714417|0|0.0|HPIC
TIC 471012363|nan|203.1855|16.8103|3373.43838357212|21.8986|nan||0.517525902611576|0.5785283971714417|0|0.0|HPIC
TIC 55099399|nan|162.0525593677|-11.33600264312||4.5632|nan||||0|0.0|HPIC
TIC 471012416|WT 1827|160.76190325561|-9.21136660822|3308.0|12.281|M5.5V|11.59|||1|1.0|HPIC
TIC 425283213|BD+01  2535|168.292|0.2388|3874.0|25.37|K6V|8.492|0.7329610545073738|0.6552784116558354|1|0.0|HPIC
TIC 77610900|MCC 568|153.0195|-2.6847|3457.0|11.5408|M2.5V|8.303|0.502560203593781|0.4595830456195438|1|1.0|HPIC
TIC 389432682|Wolf  414|187.2399|8.4255|3284.0|13.8377|M4V|9.329|0.4350100765586753|0.4001205809365072|1|0.0|HPIC
TIC 372445638|G  56-11|165.7853|15.2978|3300.0|18.21493624772313|M3.5Ve||0.2183198800657341|0.3273215688904962|0|0.0|HPIC
TIC 4626620|G 121-45|180.5753|28.5873|3367.429767968899|17.5061|sdM3.5||0.2813360529468125|0.2659636464142211|0|0.0|HPIC
TIC 471012365|HD 318327|266.5531|-32.1025|3713.0|14.148|M1.5|8.331|0.3818761466158631|0.521293128474919|1|1.0|HPIC
TIC 418062504|G 154-8|265.63446064538|-16.64022952153|3500.0|20.2811|M2.5|10.73|0.2944288495349988|0.2703258362451329|1|1.0|HPIC
TIC 296313062|Wolf 1471|265.54482046241|-8.816719412|3429.0|21.2701|M3|11.1|0.2639839586706131|0.2362395196701129|0|0.0|HPIC
TIC 228846172|Wolf 1062|288.0608|2.8864|3440.0|9.4092|M3.5V|8.534|0.3806000972314132|0.3724950258721947|1|1.0|HPIC
TIC 168660252|nan|275.2383|-1.0495||26.3186|nan|||0.515|0|0.0|HPIC
TIC 471012514|nan|275.2384|-1.0493||26.3186|nan|||0.515|0|0.0|HPIC
TIC 413946414|G 153-57|247.5546|-14.6638|3249.0|22.6446|M2.5V/M3V|9.8|0.4642593975787824|0.4690832286521529|1|0.0|HPIC
TIC 40673869|TYC 5060-53-1|247.96819437401|-7.30527350836|5714.0|22.4684|nan||0.1402526153984858|1.0188129565037274|0|0.0|HPIC
TIC 142948307|G  19-15|257.9677|-1.8518|3433.0|10.18|M3V|8.877|0.3574328110494044|0.3433521502513398|1|0.0|HPIC
TIC 447804173|G 139-12|256.9202|7.3685|3018.0|12.0|M5V||0.0667961488749695|0.1778666689163864|1|0.0|HPIC
TIC 361188014|G 140-9|265.7533|5.7893|3082.0|20.9083|M0V|8.619|0.9292841391682952|0.5928624771325304|1|0.0|HPIC
TIC 353287103|G 139-3|254.6052|13.9697|3120.0|17.793594306049823|M4.0Ve||0.3848605840385223|0.328513920067407|1|0.0|HPIC
TIC 311407476|BD+27  2853|264.294879|27.896378|4388.0|29.489826010026544|K5||0.8788741637044643|0.6862063378783881|1|0.0|HPIC
TIC 382258517|L  234-26|82.5775|-53.9801|3479.0|24.449877750611247|M3|9.71|0.5472632398308078|0.5866205074265508|1|0.0|HPIC
TIC 170806089|CD-31  1974|70.0054|-31.0753|3739.0|29.90430622009569|M0.5Vke||0.7033431788704924|0.627360062459814|1|0.0|HPIC
TIC 631748471|nan|28.98884994125|-51.60966716595||17.4255|nan||||0|0.0|HPIC
TIC 142305546|LP  993-116|41.3096|-43.7363|3111.0|7.0|M5||0.1119806948085603|0.1822926402457921|1|0.0|HPIC
TIC 70514365|HD  13513B|32.76|-35.6716|3445.0|22.377|nan||0.5113348005932112|0.6081307131847274|1|1.0|HPIC
