,main_id,coo_ra,coo_dec,plx_value,dist_st_value,sptype_string,coo_gal_l,coo_gal_b,teff_st_value,mass_st_value,radius_st_value,binary_flag,mag_i_value,mag_j_value,class_lum,class_temp,parent_main_id,sep_ang_value,sep_phys_value,a_crit_s,ecliptic_pm45deg,Lon,Lat,baseline_E,separation_E,baseline_i,baseline_o,Erik_teff,teff,contrast,contrast_flag,baseline_flag,optimised_flag
906,G 172-28,13.4718866145983,45.944569791735,34.5644,28.93,M0V,123.377041890606,-16.9250606563307,3911.0,0.54,0.544,False,,8.31099987030029,V,M,,,,,True,32.72499706121593,36.51057253991791,140.96269938431612,0.00863322256294186,147.84292637621994,83.39465759987013,3845.9178204535356,3911.0,7.46229593246836e-07,1,0,0
907,G 201-49,231.6379939,55.372652,41.6,24.04,M4Ve,89.0680930267583,50.3055797109054,3110.0,0.184,0.217,False,,10.7030000686646,V,M,,,,,False,193.0077897395215,68.77446656002168,464.3914947506785,0.002620552638482814,487.0579087094742,274.7377133537901,3213.660538640318,3110.0,6.202360499927806e-06,1,0,0
908,LP  673-13,173.780586161387,-5.65640746643361,54.8257,18.24,M4.5V,270.7331589633,52.378634729032,3082.67919921875,0.184,0.210032537579536,False,,10.2690000534058,V,M,,,,,True,176.54756428372477,-7.6603419975088585,370.5202054990222,0.003284469615412323,388.6048699531974,219.20270969826805,3111.716337106017,3082.67919921875,6.694055879716495e-06,1,0,0
909,HD 209290,330.542812907616,1.40023115501944,94.5637,10.57,M0.5V,60.9958136627609,-40.2969798410864,3501.57641601563,0.577451765537262,0.702666997909546,False,7.24499988555908,6.19600009918213,V,M,,,,,True,333.1107116863091,12.591261748463541,49.742604314700536,0.024465191833516788,52.17048353628468,29.42812157449235,3767.0379898390893,3501.57641601563,5.110793855485268e-07,1,1,1
910,HD 204961,323.391562996657,-49.008999840841106,201.3252,4.97,M2/3V,349.173075525976,-46.3496134709761,3527.0,0.4,0.52446585893631,False,6.47900009155273,5.34899997711182,V,M,,,,,True,308.6132058895147,-32.47639697087257,30.885778520191856,0.039402029515372854,32.39327779460083,18.272272988859935,3467.368504525317,3527.0,9.093433030920997e-07,1,1,1
911,LEHPM 2848,43.00131615073,-18.15443653777,40.9966,24.39,M4.1,201.395028065282,-60.85740986022,3355.8359375,0.184,0.348755657672882,False,,9.9069995880127,V,M,,,,,True,34.11092057698481,-32.93559465647834,251.77894137187226,0.004833455690245517,264.06798149373344,148.95443048603568,3193.007951074664,3355.8359375,2.1854017567194557e-06,1,0,0
912,G 168-32,241.80684277955,26.8380589309767,44.3825,22.53,M3V,44.2431704358696,46.6693478350503,3318.0,0.27,0.3,False,,9.61999988555908,V,M,,,,,False,232.1166083955108,46.635498339123345,276.57790287780955,0.0044000708089666695,290.0773517465915,163.62569396674982,3427.6778654645045,3318.0,2.994934557596745e-06,1,0,0
913,G 195-57,152.374874202219,51.2887998679178,76.0136,13.16,M4.65,163.30337393604,51.1821411417264,3154.0,0.184,0.263191342353821,False,,9.29899978637695,V,M,,,,,True,133.87372782902096,36.90874738500882,203.79391754334085,0.005971534241688332,213.74086392271414,120.56610754968288,3096.7061741707726,3154.0,4.14315873150701e-06,1,0,0
914,LP  551-35,164.44376721295,4.89221447842,37.3907,26.74,dM6,247.252921656611,54.9644451657429,3003.89501953125,0.093,0.211581975221634,False,,11.1339998245239,V,M,,,,,True,163.79070195808848,-1.6068917181821287,567.8629572749046,0.002143056421038452,595.5796941379887,335.95225611052246,2811.9008303989394,3003.89501953125,6.813972342547534e-06,1,0,0
915,* rho Psc,21.56359331781,19.17234739297,38.8391,25.75,F2V,134.190853323775,-42.9369686873348,6658.89111328125,1.33843958377838,1.47557711601257,False,,4.86600017547607,V,F,,,,,True,27.082185226855398,9.394943969627498,15.956653009155502,0.07626676823514354,16.735478863183165,9.440083227340052,6823.3869414166975,6658.89111328125,5.5035636142377914e-08,0,0,0
